norma,artigo,sigla,nome,tipo,pertence_a,fonte_url
Lei nº 13.682/2003,"Art. 1º, I",AD-GAB,Gabinete do Subprefeito,Gabinete,SUB-AD,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AD-AJ,Assessoria Jurídica,Assessoria,AD-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AD-AC,Assessoria Executiva de Comunicação,Assessoria,AD-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AD-AT,Assessoria Técnica,Assessoria,AD-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AD-PAT,Praça de Atendimento ao Público,Unidade,AD-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AD-CAF,Coordenadoria de Administração e Finanças,Coordenadoria,SUB-AD,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AD-SAS,Supervisão de Administração e Suprimentos,Supervisão,AD-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AD-SF,Supervisão de Finanças,Supervisão,AD-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AD-SUGESP,Supervisão de Gestão de Pessoas,Supervisão,AD-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Sem base legal formal — núcleo administrativo,,AD-AJTI,Núcleo de Informática,Núcleo (informal),AD-CAF,https://prefeitura.sp.gov.br/web/vila_prudente/w/acesso_a_informacao/50094
Lei nº 13.682/2003,"Art. 1º, III",AD-CPDU,Coordenadoria de Planejamento e Desenvolvimento Urbano,Coordenadoria,SUB-AD,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",AD-STUSL,Supervisão Técnica de Uso do Solo e Licenciamentos,Supervisão,AD-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",AD-STPU,Supervisão Técnica de Planejamento Urbano,Supervisão,AD-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",AD-STF,Supervisão Técnica de Fiscalização,Supervisão,AD-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AD-CPO,Coordenadoria de Projetos e Obras,Coordenadoria,SUB-AD,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AD-STPO,Supervisão Técnica de Projetos e Obras,Supervisão,AD-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AD-STLP,Supervisão Técnica de Limpeza Pública,Supervisão,AD-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AD-STM,Supervisão Técnica de Manutenção,Supervisão,AD-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Decreto nº 57.588/2017,Art. 1º,AD-CGL,Coordenadoria de Governo Local,Coordenadoria,SUB-AD,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,AD-HABI,Supervisão de Habitação,Supervisão,AD-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,AD-SC,Supervisão de Cultura,Supervisão,AD-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,AD-SEL,Supervisão de Esportes e Lazer,Supervisão,AD-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Lei nº 13.682/2003,"Art. 1º, I",AF-GAB,Gabinete do Subprefeito,Gabinete,SUB-AF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AF-AJ,Assessoria Jurídica,Assessoria,AF-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AF-AC,Assessoria Executiva de Comunicação,Assessoria,AF-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AF-AT,Assessoria Técnica,Assessoria,AF-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",AF-PAT,Praça de Atendimento ao Público,Unidade,AF-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AF-CAF,Coordenadoria de Administração e Finanças,Coordenadoria,SUB-AF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AF-SAS,Supervisão de Administração e Suprimentos,Supervisão,AF-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AF-SF,Supervisão de Finanças,Supervisão,AF-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",AF-SUGESP,Supervisão de Gestão de Pessoas,Supervisão,AF-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Sem base legal formal — núcleo administrativo,,AF-AJTI,Núcleo de Informática,Núcleo (informal),AF-CAF,https://prefeitura.sp.gov.br/web/vila_prudente/w/acesso_a_informacao/50094
Lei nº 13.682/2003,"Art. 1º, III",AF-CPDU,Coordenadoria de Planejamento e Desenvolvimento Urbano,Coordenadoria,SUB-AF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
